ID,tesi,Plant,Length,type,shoot,node,c,v,m,cl,nu,b
121,AUTOR,8,42,VLo,1,13,16,7,11,3,9,1
122,AUTOR,8,40,Lo,2,14,14,13,10,6,20,0
123,AUTOR,8,9,Me,3,6,0,5,3,2,6,0
124,AUTOR,8,48,VLo,4,17,0,17,2,2,10,0
125,AUTOR,8,41,VLo,5,16,21,16,12,7,19,0
126,AUTOR,8,14,Me,6,6,11,4,4,2,5,1
127,AUTOR,8,43,VLo,7,14,21,10,10,2,11,1
128,AUTOR,8,3,Sh,8,3,2,4,1,0,0,0
129,AUTOR,8,30,Lo,9,14,13,10,8,5,10,0
130,AUTOR,8,57,VLo,10,14,0,7,15,8,17,0
131,AUTOR,8,2.31,Sh,11,2,4,3,0,0,0,0
132,AUTOR,8,48,VLo,12,15,12,11,14,10,30,0
133,AUTOR,8,37.5,Lo,13,15,4,11,7,4,12,0
134,AUTOR,8,45.4,VLo,14,17,4,8,13,9,24,0
135,AUTOR,8,44,VLo,15,16,9,11,14,9,27,0
136,AUTOR,8,33,Lo,16,14,28,13,7,2,5,2
137,AUTOR,8,21,Lo,17,8,3,4,7,4,10,0
138,AUTOR,8,8.5,Me,18,5,7,4,5,4,7,0
139,AUTOR,8,38,Lo,19,15,11,10,12,9,24,2
140,AUTOR,8,38,Lo,20,14,0,4,10,8,18,0
141,AUTOR,8,11.8,Me,21,6,7,5,2,2,4,2
142,AUTOR,8,2.5,Sh,22,3,2,1,0,0,0,0
143,AUTOR,8,39,Lo,23,14,4,10,9,8,21,0
144,AUTOR,8,1.5,Sh,24,3,0,2,1,1,3,0
145,AUTOR,8,41.5,VLo,25,14,3,6,12,6,14,0
146,AUTOR,8,4,Sh,26,5,2,4,5,3,7,0
147,AUTOR,8,29.8,Lo,27,10,15,7,9,6,10,0
148,AUTOR,8,4.2,Sh,28,4,0,3,0,0,0,1
149,AUTOR,8,35,Lo,29,12,29,13,9,5,11,0
150,AUTOR,8,49.6,VLo,30,17,11,9,11,9,23,1
151,AUTOR,8,3,Sh,31,3,4,3,0,0,0,1
152,AUTOR,8,15.6,Me,32,7,10,4,6,2,5,0
153,AUTOR,8,4,Sh,33,3,0,1,2,1,2,0
154,AUTOR,8,12.2,Me,34,6,6,2,10,2,7,0
155,AUTOR,8,2,Sh,35,2,0,1,1,1,1,0
156,AUTOR,8,27.6,Lo,36,9,6,3,11,9,24,0
157,AUTOR,8,18.2,Me,37,7,0,3,5,4,10,0
158,AUTOR,8,36.5,Lo,38,10,2,5,11,6,16,0
159,AUTOR,8,1,Sh,39,1,0,0,1,0,0,0
160,AUTOR,9,18,Me,40,9,5,6,4,2,7,2
161,AUTOR,9,5.5,Me,41,6,8,3,4,1,1,0
162,AUTOR,9,7,Me,42,5,8,4,7,0,0,1
163,AUTOR,9,18.2,Me,43,7,3,1,8,6,13,0
164,AUTOR,9,42.6,VLo,44,14,9,8,12,7,16,0
165,AUTOR,9,34,Lo,45,13,1,3,11,7,21,0
166,AUTOR,9,43,VLo,46,18,17,7,13,0,0,1
167,AUTOR,9,52,VLo,47,19,19,12,17,9,28,3
168,AUTOR,9,4.5,Sh,48,5,3,1,3,2,5,4
169,AUTOR,9,25,Lo,49,11,7,5,6,4,9,3
170,AUTOR,9,19,Me,50,7,7,2,4,3,9,3
171,AUTOR,9,4.5,Sh,51,3,2,1,0,0,0,2
172,AUTOR,9,2,Sh,52,2,0,1,1,0,0,0
173,AUTOR,9,54,VLo,53,15,6,0,11,10,36,4
174,AUTOR,9,8.5,Me,54,7,6,4,6,2,6,2
175,AUTOR,9,6,Me,55,5,0,3,2,1,3,0
176,AUTOR,9,10.2,Me,56,8,6,5,6,2,5,2
177,AUTOR,9,12,Me,57,6,4,2,6,2,6,3
178,AUTOR,9,2,Sh,58,3,2,1,1,1,1,1
179,AUTOR,9,54,VLo,59,22,7,12,11,6,14,5
180,AUTOR,9,3,Sh,60,3,4,3,0,0,0,1
181,AUTOR,9,46,VLo,61,20,0,17,8,4,18,0
182,AUTOR,9,9,Me,62,8,2,3,4,1,6,1
183,AUTOR,9,4.8,Sh,63,3,5,1,3,2,3,0
184,AUTOR,9,28,Lo,64,16,14,11,7,3,5,3
185,AUTOR,9,10,Me,65,6,8,0,9,0,0,3
186,AUTOR,9,58,VLo,66,19,1,6,12,10,41,5
187,AUTOR,9,26.5,Lo,67,12,10,7,8,6,19,2
188,AUTOR,9,26.5,Lo,68,13,9,6,7,4,13,3
189,AUTOR,9,6.5,Me,69,4,3,2,4,1,1,1
190,AUTOR,10,42,VLo,70,16,18,15,8,6,19,3
191,AUTOR,10,5,Sh,71,5,5,3,5,1,4,0
192,AUTOR,10,3,Sh,72,3,4,4,0,0,0,0
193,AUTOR,10,38.5,Lo,73,15,5,8,11,0,0,1
194,AUTOR,10,14.5,Me,74,7,8,4,5,0,0,3
195,AUTOR,10,35.5,Lo,75,16,10,18,3,0,0,1
196,AUTOR,10,13.5,Me,76,8,11,5,6,1,3,2
197,AUTOR,10,28,Lo,77,17,18,10,5,5,14,4
198,AUTOR,10,14,Me,78,7,9,1,5,3,6,3
199,AUTOR,10,22,Lo,79,10,14,4,9,5,15,3
200,AUTOR,10,38,Lo,80,12,15,7,13,5,11,1
201,AUTOR,10,6,Me,81,4,3,1,0,0,0,0
202,AUTOR,10,1,Sh,82,2,1,0,1,0,0,0
203,AUTOR,10,66.5,VLo,83,18,17,22,10,4,12,0
204,AUTOR,10,16,Me,84,8,3,2,3,0,0,4
205,AUTOR,10,22.5,Lo,85,7,12,2,4,1,2,4
206,AUTOR,10,45,VLo,86,14,10,12,12,1,6,0
207,AUTOR,10,25,Lo,87,12,20,8,10,4,7,5
208,AUTOR,10,4.5,Sh,88,4,1,3,1,1,2,1
209,AUTOR,10,27,Lo,89,10,30,7,9,0,0,3
210,AUTOR,10,41,VLo,90,19,28,14,11,4,10,1
211,AUTOR,10,2,Sh,91,2,2,4,0,0,0,0
212,AUTOR,10,18,Me,92,7,8,7,5,1,2,2
213,AUTOR,10,4,Sh,93,5,2,2,2,0,0,3
214,AUTOR,10,3,Sh,94,4,0,3,1,0,0,1
215,AUTOR,10,43.5,VLo,95,16,19,10,16,10,26,3
216,AUTOR,10,2.5,Sh,96,3,3,0,2,0,0,1
217,AUTOR,10,26,Lo,97,9,13,4,6,4,8,2
218,AUTOR,10,16,Me,98,7,7,2,7,0,0,3
219,AUTOR,10,2.5,Sh,99,1,2,1,0,0,0,0
220,AUTOR,10,72,VLo,100,23,4,23,8,1,1,1
221,AUTOR,10,32,Lo,101,11,27,9,7,0,0,1
222,AUTOR,10,10,Me,102,7,7,6,2,0,0,1
223,AUTOR,10,2.5,Sh,103,4,1,0,4,1,3,2
224,AUTOR,10,33,Lo,104,12,0,6,9,6,20,0
225,AUTOR,10,2.5,Sh,105,3,3,2,2,0,0,0
226,AUTOR,10,3.5,Sh,106,4,4,3,1,0,0,1
227,AUTOR,10,30,Lo,107,13,8,8,11,4,14,1
228,AUTOR,10,25,Lo,108,13,6,11,8,0,0,0
229,AUTOR,10,5.5,Me,109,5,6,6,2,0,0,1
230,AUTOR,9,33,Lo,110,16,4,6,11,4,13,3
231,AUTOR,9,43,VLo,111,20,10,11,8,5,14,4
232,AUTOR,9,10.5,Me,112,7,5,4,4,0,0,4
233,AUTOR,9,1.5,Sh,113,1,4,1,0,0,0,0
234,AUTOR,9,2,Sh,114,2,0,1,1,0,0,0
235,AUTOR,9,4.8,Sh,115,4,3,3,2,1,2,0
236,AUTOR,9,38.5,Lo,116,13,5,4,10,7,23,1
237,AUTOR,9,43.5,VLo,117,18,6,13,12,6,17,0
238,AUTOR,9,2,Sh,118,2,0,3,2,0,0,0
239,AUTOR,9,7,Me,119,6,2,3,2,0,0,0
240,AUTOR,9,40.5,VLo,120,16,7,8,15,0,0,0
