note,#ID,date,tesi,Fila,pianta,shoot,length (cm),diametro (mm),type,#nodes,internodo(cm),Amenti,Legno,Miste,cluster,nuts,Cieche,#osserv,oss/node,nut set,%M,%L,%A,%C,,,,,,
,1,2020,inne,3,4,1,43,6.14,VLo,17,2.53,12,17,9,3,9,1,39,2.29,100%,23%,44%,31%,3%,,,,,,
,2,2020,inne,3,4,2,25,4.44,Lo,10,2.50,10,4,7,3,9,3,24,2.40,129%,29%,17%,42%,13%,,,,,,
,3,2020,inne,3,4,3,42.5,7.08,VLo,20,2.13,13,16,15,5,18,0,44,2.20,120%,34%,36%,30%,0%,,,,,,
,4,2020,inne,3,4,4,30.5,4.7,Lo,12,2.54,13,8,5,2,5,3,29,2.42,100%,17%,28%,45%,10%,,,,,,
,5,2020,inne,3,4,5,5.5,2.46,Me,5,1.10,3,4,0,0,0,1,8,1.60,,0%,50%,38%,13%,,,,,,
,6,2020,inne,3,4,6,39,4.32,Lo,11,3.55,8,12,2,0,0,1,23,2.09,0%,9%,52%,35%,4%,,,,,,
,7,2020,inne,3,4,7,36,4.56,Lo,11,3.27,6,6,7,4,10,2,21,1.91,143%,33%,29%,29%,10%,,,,,,
,8,2020,inne,3,4,8,43.5,5.64,VLo,15,2.90,7,17,2,1,3,1,27,1.80,150%,7%,63%,26%,4%,,,,,,
,9,2020,inne,3,4,9,16.5,3.88,Me,8,2.06,6,8,2,0,0,2,18,2.25,0%,11%,44%,33%,11%,,,,,,
,10,2020,inne,3,4,10,40,5,Lo,15,2.67,6,13,4,2,3,3,26,1.73,75%,15%,50%,23%,12%,,,,,,
,11,2020,inne,3,5,11,42,5.1,VLo,17,2.47,1,15,8,5,9,2,26,1.53,113%,31%,58%,4%,8%,,,,,,
,12,2020,inne,3,5,12,50,6.43,VLo,15,3.33,0,10,7,0,0,1,18,1.20,0%,39%,56%,0%,6%,,,,,,
,13,2020,inne,3,5,13,39,4.92,Lo,14,2.79,4,9,8,4,10,0,21,1.50,125%,38%,43%,19%,0%,,,,,,
,14,2020,inne,3,5,14,31,4.44,Lo,11,2.82,8,8,7,2,3,1,24,2.18,43%,29%,33%,33%,4%,,,,,,
,15,2020,inne,3,5,15,65,6.8,VLo,18,3.61,5,9,12,7,13,2,28,1.56,108%,43%,32%,18%,7%,,,,,,
,16,2020,inne,3,5,16,49,6.26,VLo,17,2.88,8,15,8,0,0,2,33,1.94,0%,24%,45%,24%,6%,,,,,,
,17,2020,inne,3,5,17,4.5,2.64,Sh,4,1.13,1,3,1,1,1,1,6,1.50,100%,17%,50%,17%,17%,,,,,,
,18,2020,inne,3,5,18,45,5.56,VLo,15,3.00,6,4,12,5,12,3,25,1.67,100%,48%,16%,24%,12%,,,,,,
,19,2020,inne,3,5,19,13,3.52,Me,7,1.86,6,5,2,0,0,3,16,2.29,0%,13%,31%,38%,19%,,,,,,
,20,2020,inne,3,5,20,42,6.18,VLo,16,2.63,9,14,7,2,6,3,33,2.06,86%,21%,42%,27%,9%,,,,,,
,21,2020,inne,3,5,21,47.5,7.32,VLo,17,2.79,8,14,9,3,9,1,32,1.88,100%,28%,44%,25%,3%,,,,,,
,22,2020,inne,3,5,22,42,6.44,VLo,15,2.80,9,12,9,3,8,1,31,2.07,89%,29%,39%,29%,3%,,,,,,
,23,2020,inne,3,5,23,4,2.96,Sh,2,2.00,0,0,2,0,0,0,2,1.00,0%,100%,0%,0%,0%,,,,,,
,24,2020,inne,3,5,24,57,6.71,VLo,20,2.85,9,16,10,4,9,0,35,1.75,90%,29%,46%,26%,0%,,,,,,
,25,2020,inne,3,5,25,38,5.64,Lo,15,2.53,4,9,8,0,0,1,22,1.47,0%,36%,41%,18%,5%,,,,,,
,26,2020,inne,3,5,26,3.5,2.45,Sh,3,1.17,0,3,0,0,0,0,3,1.00,,0%,100%,0%,0%,,,,,,
,27,2020,inne,3,5,27,45.5,5.58,VLo,17,2.68,6,12,10,5,7,2,30,1.76,70%,33%,40%,20%,7%,,,,,,
,28,2020,inne,3,5,28,41,6.07,VLo,16,2.56,12,19,2,0,0,2,35,2.19,0%,6%,54%,34%,6%,,,,,,
,29,2020,inne,3,5,29,23,5.59,Lo,10,2.30,7,7,7,2,9,3,24,2.40,129%,29%,29%,29%,13%,,,,,,
,30,2020,inne,3,5,30,38.2,5.9,Lo,15,2.55,0,6,9,4,9,4,19,1.27,100%,47%,32%,0%,21%,,,,,,
,31,2020,inne,3,5,31,15.5,3.5,Me,8,1.94,7,3,7,1,1,2,19,2.38,14%,37%,16%,37%,11%,,,,,,
,32,2020,inne,3,5,32,41,6.52,VLo,17,2.41,4,15,5,2,3,2,26,1.53,60%,19%,58%,15%,8%,,,,,,
,33,2020,inne,3,5,33,4,2.08,Sh,3,1.33,0,3,0,0,0,0,3,1.00,,0%,100%,0%,0%,,,,,,
,34,2020,inne,3,5,34,40,5.07,Lo,15,2.67,6,8,9,5,12,1,24,1.60,133%,38%,33%,25%,4%,,,,,,
,35,2020,inne,3,5,35,8,3.55,Me,7,1.14,5,4,4,2,4,2,15,2.14,100%,27%,27%,33%,13%,,,,,,
,36,2020,inne,3,5,36,40,6.34,Lo,17,2.35,9,11,12,5,17,2,34,2.00,142%,35%,32%,26%,6%,,,,,,
,37,2020,inne,3,5,37,40,3.43,Lo,17,2.35,3,8,7,3,5,5,23,1.35,71%,30%,35%,13%,22%,,,,,,
,38,2020,inne,3,5,38,8,3.23,Me,5,1.60,7,2,5,1,3,2,16,3.20,60%,31%,13%,44%,13%,,,,,,
,39,2020,inne,3,5,39,9.5,3.5,Me,6,1.58,10,5,3,1,5,2,20,3.33,167%,15%,25%,50%,10%,,,,,,
,40,2020,inne,3,5,40,21,3.77,Lo,5,4.20,4,0,4,3,6,2,10,2.00,150%,40%,0%,40%,20%,,,,,,
,41,2020,inne,3,5,41,21.2,3.59,Lo,9,2.36,8,7,8,2,4,2,25,2.78,50%,32%,28%,32%,8%,,,,,,
,42,2020,inne,3,5,42,35,5.73,Lo,16,2.19,2,14,5,4,12,0,21,1.31,240%,24%,67%,10%,0%,,,,,,
,43,2020,inne,3,5,43,30,4.89,Lo,13,2.31,5,7,8,3,5,3,23,1.77,63%,35%,30%,22%,13%,,,,,,
