year,thesis,length,shoot1yo,length1yo,rank1yo,c,v,m,b,#oss,#newshoots
2020,AUTOR,VLo,1,42,1,0,1,0,0,1,0
2020,AUTOR,VLo,1,42,2,0,0,0,1,1,0
2020,AUTOR,VLo,1,42,3,0,1,0,0,1,1
2020,AUTOR,VLo,1,42,4,3,0,2,0,3,1
2020,AUTOR,VLo,1,42,5,5,1,0,0,2,1
2020,AUTOR,VLo,1,42,6,4,0,3,0,4,2
2020,AUTOR,VLo,1,42,7,4,1,1,0,3,2
2020,AUTOR,VLo,1,42,8,0,0,1,0,1,1
2020,AUTOR,VLo,1,42,9,0,0,1,0,1,1
2020,AUTOR,VLo,1,42,10,0,0,1,0,1,1
2020,AUTOR,VLo,1,42,11,0,0,1,0,1,1
2020,AUTOR,VLo,1,42,12,0,1,0,0,1,1
2020,AUTOR,VLo,1,42,13,0,2,1,0,3,2
2020,AUTOR,Lo,2,40,1,0,1,0,0,1,1
2020,AUTOR,Lo,2,40,2,0,0,1,0,1,1
2020,AUTOR,Lo,2,40,3,0,1,0,0,1,1
2020,AUTOR,Lo,2,40,4,0,3,0,0,3,1
2020,AUTOR,Lo,2,40,5,3,1,2,0,4,1
2020,AUTOR,Lo,2,40,6,0,1,0,0,1,2
2020,AUTOR,Lo,2,40,7,4,3,2,0,6,1
2020,AUTOR,Lo,2,40,8,0,0,1,0,1,1
2020,AUTOR,Lo,2,40,9,5,1,0,0,2,1
2020,AUTOR,Lo,2,40,10,0,0,1,0,1,1
2020,AUTOR,Lo,2,40,11,2,2,0,0,3,1
2020,AUTOR,Lo,2,40,12,0,0,1,0,1,1
2020,AUTOR,Lo,2,40,13,0,0,1,0,1,1
2020,AUTOR,Lo,2,40,14,0,0,1,0,1,1
2020,AUTOR,Me,3,9,1,0,1,0,0,1,0
2020,AUTOR,Me,3,9,2,0,1,0,0,1,0
2020,AUTOR,Me,3,9,3,0,1,0,0,1,0
2020,AUTOR,Me,3,9,4,0,0,1,0,1,1
2020,AUTOR,Me,3,9,5,0,0,1,0,1,1
2020,AUTOR,Me,3,9,6,0,2,1,0,3,2
2020,AUTOR,VLo,4,48,1,0,1,0,0,1,1
2020,AUTOR,VLo,4,48,2,0,1,0,0,1,1
2020,AUTOR,VLo,4,48,3,0,1,0,0,1,1
2020,AUTOR,VLo,4,48,4,0,1,0,0,1,1
2020,AUTOR,VLo,4,48,5,0,0,1,0,1,1
2020,AUTOR,VLo,4,48,6,0,0,1,0,1,1
2020,AUTOR,VLo,4,48,7,0,1,0,0,1,1
2020,AUTOR,VLo,4,48,8,0,1,0,0,1,1
2020,AUTOR,VLo,4,48,9,0,1,0,0,1,1
2020,AUTOR,VLo,4,48,10,0,1,0,0,1,1
2020,AUTOR,VLo,4,48,11,0,1,0,0,1,1
2020,AUTOR,VLo,4,48,12,0,1,0,0,1,1
2020,AUTOR,VLo,4,48,13,0,1,0,0,1,1
2020,AUTOR,VLo,4,48,14,0,1,0,0,1,1
2020,AUTOR,VLo,4,48,15,0,1,0,0,1,1
2020,AUTOR,VLo,4,48,16,0,1,0,0,1,1
2020,AUTOR,VLo,4,48,17,0,3,0,0,3,3
2020,AUTOR,VLo,5,41,1,0,1,0,0,1,0
2020,AUTOR,VLo,5,41,2,0,1,0,0,1,0
2020,AUTOR,VLo,5,41,3,0,2,0,0,2,2
2020,AUTOR,VLo,5,41,4,0,0,1,0,1,1
2020,AUTOR,VLo,5,41,5,4,2,1,0,4,2
2020,AUTOR,VLo,5,41,6,0,0,1,0,1,1
2020,AUTOR,VLo,5,41,7,4,3,2,0,6,2
2020,AUTOR,VLo,5,41,8,4,0,1,0,2,2
2020,AUTOR,VLo,5,41,9,0,1,1,0,2,1
2020,AUTOR,VLo,5,41,10,0,1,1,0,2,1
2020,AUTOR,VLo,5,41,11,0,0,1,0,1,1
2020,AUTOR,VLo,5,41,12,0,0,1,0,1,1
2020,AUTOR,VLo,5,41,13,4,3,0,0,4,2
2020,AUTOR,VLo,5,41,14,0,0,1,0,1,1
2020,AUTOR,VLo,5,41,15,0,2,0,0,2,2
2020,AUTOR,VLo,5,41,16,5,0,1,0,2,1
2020,AUTOR,Me,6,14,1,0,1,0,0,1,1
2020,AUTOR,Me,6,14,2,0,0,0,1,1,0
2020,AUTOR,Me,6,14,3,5,2,0,0,3,1
2020,AUTOR,Me,6,14,4,3,0,2,0,3,2
2020,AUTOR,Me,6,14,5,0,0,1,0,1,1
2020,AUTOR,Me,6,14,6,3,1,1,0,3,2
2020,AUTOR,VLo,7,43,1,0,0,1,0,1,1
2020,AUTOR,VLo,7,43,2,0,0,0,1,1,1
2020,AUTOR,VLo,7,43,3,0,2,0,0,2,1
2020,AUTOR,VLo,7,43,4,7,0,0,0,1,1
2020,AUTOR,VLo,7,43,5,4,0,3,0,4,2
2020,AUTOR,VLo,7,43,6,0,1,1,0,2,1
2020,AUTOR,VLo,7,43,7,5,2,0,0,3,1
2020,AUTOR,VLo,7,43,8,5,1,1,0,3,2
2020,AUTOR,VLo,7,43,9,0,0,1,0,1,0
2020,AUTOR,VLo,7,43,10,0,0,1,0,1,1
2020,AUTOR,VLo,7,43,11,0,0,1,0,1,1
2020,AUTOR,VLo,7,43,12,0,0,1,0,1,1
2020,AUTOR,VLo,7,43,13,0,1,0,0,1,1
2020,AUTOR,VLo,7,43,14,0,3,0,0,3,3
2020,AUTOR,Sh,8,3,1,0,1,0,0,1,
2020,AUTOR,Sh,8,3,2,0,0,1,0,1,
2020,AUTOR,Sh,8,3,3,2,3,0,0,4,
2020,AUTOR,Lo,9,30,1,0,1,0,0,1,0
2020,AUTOR,Lo,9,30,2,0,1,0,0,1,1
2020,AUTOR,Lo,9,30,3,0,0,1,0,1,1
2020,AUTOR,Lo,9,30,4,0,0,1,0,1,1
2020,AUTOR,Lo,9,30,5,4,2,1,0,4,1
2020,AUTOR,Lo,9,30,6,4,1,1,0,3,2
2020,AUTOR,Lo,9,30,7,0,1,0,0,1,1
2020,AUTOR,Lo,9,30,8,0,1,1,0,2,1
2020,AUTOR,Lo,9,30,9,0,0,1,0,1,1
