"tesi","Length","class","shoot","Tree","rank_node","c","v","m","cl","nu","b","tot_buds","fate","new_shoots","is_in_sylleptic","length2yo.cm.","length.newshoots","X.nodes2yo","c.1","v.1","m.1","cic","B","position"
"AUTOR",42,"VLo",1,8,13,0,2,0,0,0,0,3,"M",1,"NO",10,"Me",6,0,3,1,1,2,"AP"
"AUTOR",40,"Lo",2,8,14,0,0,0,0,0,0,1,"M",1,"NO",4,"Sh",1,0,0,0,1,0,"AP"
"AUTOR",9,"Me",3,8,6,0,1,1,0,0,0,3,"V",1,"NO",4,"Sh",1,0,0,0,1,0,"AP"
"AUTOR",48,"VLo",4,8,17,0,2,0,0,0,0,3,"V",1,"NO",21,"Lo",11,3,6,3,0,2,"AP"
"AUTOR",41,"VLo",5,8,17,0,0,0,1,1,0,1,"M",1,"NO",3,"Sh",1,0,0,0,1,0,"AP"
"AUTOR",14,"Me",6,8,7,0,0,0,1,2,0,1,"M",1,"NO",2,"Sh",4,0,2,0,1,1,"AP"
"AUTOR",43,"VLo",7,8,14,0,2,0,0,0,0,3,"V",1,"NO",12,"Me",7,10,3,3,0,2,"AP"
"AUTOR",30,"Lo",9,8,15,0,0,0,0,0,0,1,"V",1,"NO",4.5,"Sh",6,1,2,1,0,3,"AP"
"AUTOR",57,"VLo",10,8,14,0,0,0,0,0,0,1,"M",1,"NO",3,"Sh",5,0,2,0,0,3,"AP"
"AUTOR",2.31,"Sh",11,8,3,0,0,0,0,0,0,1,"V",1,"NO",3,"Sh",5,1,4,1,0,1,"AP"
"AUTOR",48,"VLo",12,8,15,0,2,0,1,3,0,3,"M",1,"NO",3.5,"Sh",3,0,1,0,1,2,"AP"
"AUTOR",37.5,"Lo",13,8,15,0,0,0,0,0,0,1,"V",1,"NO",21,"Lo",12,3,1,4,0,4,"AP"
"AUTOR",45.4,"VLo",14,8,17,0,1,0,0,0,0,2,"V",1,"NO",13,"Me",8,4,4,0,0,5,"AP"
"AUTOR",44,"VLo",15,8,16,0,1,0,0,0,0,2,"V",1,"NO",7,"Me",8,2,2,0,0,5,"AP"
"AUTOR",33,"Lo",16,8,15,0,0,0,0,0,0,1,"V",1,"NO",7,"Me",7,6,6,2,0,1,"AP"
"AUTOR",21,"Lo",17,8,8,0,0,0,0,0,0,1,"M",1,"NO",3,"Sh",1,0,0,0,1,0,"AP"
"AUTOR",8.5,"Me",18,8,6,0,0,0,2,5,0,1,"M",1,"NO",2,"Sh",1,0,0,0,1,0,"AP"
"AUTOR",38,"Lo",19,8,15,0,1,0,0,0,0,2,"V",1,"NO",8,"Me",1,0,0,0,1,0,"AP"
"AUTOR",38,"Lo",20,8,14,0,0,0,0,0,0,1,"V",1,"NO",6,"Me",7,0,3,0,1,3,"AP"
"AUTOR",11.8,"Me",21,8,6,0,0,0,1,3,0,1,"M",1,"NO",4.5,"Sh",4,0,3,0,1,1,"AP"
"AUTOR",2.5,"Sh",22,8,3,0,0,0,0,0,0,1,"C",1,"YES",1,"Sh",3,0,1,0,0,2,"AP"
"AUTOR",39,"Lo",23,8,14,0,0,0,0,0,0,1,"V",1,"NO",9,"Me",7,2,2,0,0,3,"AP"
"AUTOR",1.5,"Sh",24,8,3,0,0,0,1,3,0,1,"M",1,"NO",3,"Sh",1,0,0,0,1,0,"AP"
"AUTOR",41.5,"VLo",25,8,14,0,1,0,0,0,0,2,"V",1,"NO",6,"Me",6,2,2,1,1,2,"AP"
"AUTOR",4,"Sh",26,8,6,0,0,0,0,0,0,1,"M",1,"NO",3,"Sh",5,0,3,0,1,2,"AP"
"AUTOR",29.8,"Lo",27,8,10,0,0,0,0,0,0,1,"V",1,"NO",6,"Me",5,0,1,0,0,4,"AP"
"AUTOR",4.2,"Sh",28,8,4,0,0,0,0,0,0,1,"V",1,"NO",6.5,"Me",5,2,3,0,1,1,"AP"
"AUTOR",35,"Lo",29,8,13,0,0,0,0,0,0,1,"V",1,"NO",1,"Sh",0,0,0,0,0,0,"AP"
"AUTOR",49.6,"VLo",30,8,17,0,1,0,0,0,0,2,"V",1,"NO",12,"Me",11,7,3,2,0,8,"AP"
"AUTOR",3,"Sh",31,8,4,0,0,0,0,0,0,1,"V",1,"NO",3,"Sh",4,0,2,1,1,1,"AP"
"AUTOR",15.6,"Me",32,8,8,0,0,0,1,3,0,1,"M",1,"NO",2,"Sh",1,0,0,0,1,0,"AP"
"AUTOR",4,"Sh",33,8,3,0,0,0,1,2,0,1,"M",1,"NO",4,"Sh",5,0,3,0,1,2,"AP"
"AUTOR",12.2,"Me",34,8,7,0,0,0,0,0,0,1,"V",1,"NO",6,"Me",7,4,5,3,0,4,"AP"
"AUTOR",2,"Sh",35,8,2,0,0,0,1,1,0,1,"M",1,"NO",3,"Sh",5,0,2,0,1,3,"AP"
"AUTOR",27.6,"Lo",36,8,9,0,0,0,1,3,0,1,"M",1,"NO",2,"Sh",1,0,0,0,1,0,"AP"
"AUTOR",18.2,"Me",37,8,7,0,0,0,0,0,0,1,"V",1,"NO",4.5,"Sh",6,0,3,0,1,3,"AP"
"AUTOR",36.5,"Lo",38,8,10,0,1,0,0,0,0,2,"V",1,"NO",7,"Me",7,0,3,0,0,4,"AP"
"AUTOR",1,"Sh",39,8,1,0,0,0,0,0,0,1,"M",1,"NO",4,"Sh",5,0,3,0,0,2,"AP"
