"tesi","Length","Diam","class","shoot","Tree","Length.node.","rank_node","normal_distance","median_distance","distance_abs","c","v","m","cl","nu","b","tot_buds","fate","new_shoots","from_","length2yo.cm.","length.newshoots","X.nodes2yo","c.1","v.1","m.1","cic.1","cl.1","B.1"
"AUTOR",42,6.37,"VLo",1,8,13,1,0.46,-6,6,0,0,0,0,0,0,1,"V",0,"PROL",NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUTOR",42,6.37,"VLo",1,8,13,2,0.38,-5,5,0,0,0,0,0,0,1,"B",0,"PROL",NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUTOR",42,6.37,"VLo",1,8,13,3,0.31,-4,4,0,0,0,0,0,0,1,"V",1,"PROL",1,"Sh",4,2,2,0,0,0,1
"AUTOR",42,6.37,"VLo",1,8,13,4,0.23,-3,3,1,0,1,0,0,0,3,"M",1,"SYL",3,"Sh",4,0,3,0,1,0,1
"AUTOR",42,6.37,"VLo",1,8,13,4,0.23,-3,3,0,0,2,0,0,0,3,"C",0,"SYL",NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUTOR",42,6.37,"VLo",1,8,13,4,0.23,-3,3,1,0,1,0,0,0,3,"M",0,"SYL",NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUTOR",42,6.37,"VLo",1,8,13,5,0.15,-2,2,1,0,0,0,0,0,2,"V",1,"SYL",2,"Sh",3,2,3,0,0,0,0
"AUTOR",42,6.37,"VLo",1,8,13,5,0.15,-2,2,0,1,0,0,0,0,2,"C",0,"SYL",NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUTOR",42,6.37,"VLo",1,8,13,6,0.08,-1,1,1,0,2,1,3,0,4,"M",1,"SYL",1,"Sh",3,2,1,0,0,0,1
"AUTOR",42,6.37,"VLo",1,8,13,6,0.08,-1,1,1,0,2,0,0,0,4,"M",1,"SYL",2,"Sh",4,1,2,0,0,0,2
"AUTOR",42,6.37,"VLo",1,8,13,6,0.08,-1,1,0,0,3,0,0,0,4,"C",0,"SYL",NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUTOR",42,6.37,"VLo",1,8,13,6,0.08,-1,1,1,0,2,0,0,0,4,"M",0,"SYL",NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUTOR",42,6.37,"VLo",1,8,13,7,0,0,0,1,1,0,0,0,0,3,"M",1,"SYL",1,"Sh",2,0,1,0,1,0,1
"AUTOR",42,6.37,"VLo",1,8,13,7,0,0,0,1,0,1,0,0,0,3,"V",1,"SYL",2,"Sh",4,0,3,0,0,0,1
"AUTOR",42,6.37,"VLo",1,8,13,7,0,0,0,0,1,1,0,0,0,3,"C",0,"SYL",NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUTOR",42,6.37,"VLo",1,8,13,8,0.08,1,1,0,0,0,1,3,0,1,"M",1,"PROL",4,"Sh",4,0,3,0,1,0,1
"AUTOR",42,6.37,"VLo",1,8,13,9,0.15,2,2,0,0,0,0,0,0,1,"M",1,"PROL",3,"Sh",4,0,3,0,1,0,1
"AUTOR",42,6.37,"VLo",1,8,13,10,0.23,3,3,0,0,0,1,3,0,1,"M",1,"PROL",3,"Sh",4,0,2,0,1,0,2
"AUTOR",42,6.37,"VLo",1,8,13,11,0.31,4,4,0,0,0,0,0,0,1,"M",1,"PROL",4,"Sh",5,0,3,0,1,0,2
"AUTOR",42,6.37,"VLo",1,8,13,12,0.38,5,5,0,0,0,0,0,0,1,"V",1,"PROL",6,"Me",5,1,4,0,1,0,1
"AUTOR",42,6.37,"VLo",1,8,13,13,0.46,6,6,0,2,0,0,0,0,3,"M",1,"PROL",10,"Me",6,0,3,1,1,0,2
"AUTOR",42,6.37,"VLo",1,8,13,13,0.46,6,6,0,1,1,0,0,0,3,"V",1,"PROL",2,"Sh",3,0,2,0,0,0,1
