"","ï..year","thesis","length","shoot1yo","length1yo","rank1yo","c","v","m","b","X.oss","X.newshoots"
"1",2020,"AUTOR","VLo",1,42,1,0,1,0,0,1,0
"2",2020,"AUTOR","VLo",1,42,2,0,0,0,1,1,0
"3",2020,"AUTOR","VLo",1,42,3,0,1,0,0,1,1
"4",2020,"AUTOR","VLo",1,42,4,3,0,2,0,3,1
"5",2020,"AUTOR","VLo",1,42,5,5,1,0,0,2,1
"6",2020,"AUTOR","VLo",1,42,6,4,0,3,0,4,2
"7",2020,"AUTOR","VLo",1,42,7,4,1,1,0,3,2
"8",2020,"AUTOR","VLo",1,42,8,0,0,1,0,1,1
"9",2020,"AUTOR","VLo",1,42,9,0,0,1,0,1,1
"10",2020,"AUTOR","VLo",1,42,10,0,0,1,0,1,1
"11",2020,"AUTOR","VLo",1,42,11,0,0,1,0,1,1
"12",2020,"AUTOR","VLo",1,42,12,0,1,0,0,1,1
"13",2020,"AUTOR","VLo",1,42,13,0,2,1,0,3,2
"14",2020,"AUTOR","Lo",2,40,1,0,1,0,0,1,1
"15",2020,"AUTOR","Lo",2,40,2,0,0,1,0,1,1
"16",2020,"AUTOR","Lo",2,40,3,0,1,0,0,1,1
"17",2020,"AUTOR","Lo",2,40,4,0,3,0,0,3,1
"18",2020,"AUTOR","Lo",2,40,5,3,1,2,0,4,1
"19",2020,"AUTOR","Lo",2,40,6,0,1,0,0,1,2
"20",2020,"AUTOR","Lo",2,40,7,4,3,2,0,6,1
"21",2020,"AUTOR","Lo",2,40,8,0,0,1,0,1,1
"22",2020,"AUTOR","Lo",2,40,9,5,1,0,0,2,1
"23",2020,"AUTOR","Lo",2,40,10,0,0,1,0,1,1
"24",2020,"AUTOR","Lo",2,40,11,2,2,0,0,3,1
"25",2020,"AUTOR","Lo",2,40,12,0,0,1,0,1,1
"26",2020,"AUTOR","Lo",2,40,13,0,0,1,0,1,1
"27",2020,"AUTOR","Lo",2,40,14,0,0,1,0,1,1
"28",2020,"AUTOR","Me",3,9,1,0,1,0,0,1,0
"29",2020,"AUTOR","Me",3,9,2,0,1,0,0,1,0
"30",2020,"AUTOR","Me",3,9,3,0,1,0,0,1,0
"31",2020,"AUTOR","Me",3,9,4,0,0,1,0,1,1
"32",2020,"AUTOR","Me",3,9,5,0,0,1,0,1,1
"33",2020,"AUTOR","Me",3,9,6,0,2,1,0,3,2
"34",2020,"AUTOR","VLo",4,48,1,0,1,0,0,1,1
"35",2020,"AUTOR","VLo",4,48,2,0,1,0,0,1,1
"36",2020,"AUTOR","VLo",4,48,3,0,1,0,0,1,1
"37",2020,"AUTOR","VLo",4,48,4,0,1,0,0,1,1
"38",2020,"AUTOR","VLo",4,48,5,0,0,1,0,1,1
"39",2020,"AUTOR","VLo",4,48,6,0,0,1,0,1,1
"40",2020,"AUTOR","VLo",4,48,7,0,1,0,0,1,1
"41",2020,"AUTOR","VLo",4,48,8,0,1,0,0,1,1
"42",2020,"AUTOR","VLo",4,48,9,0,1,0,0,1,1
"43",2020,"AUTOR","VLo",4,48,10,0,1,0,0,1,1
"44",2020,"AUTOR","VLo",4,48,11,0,1,0,0,1,1
"45",2020,"AUTOR","VLo",4,48,12,0,1,0,0,1,1
"46",2020,"AUTOR","VLo",4,48,13,0,1,0,0,1,1
"47",2020,"AUTOR","VLo",4,48,14,0,1,0,0,1,1
"48",2020,"AUTOR","VLo",4,48,15,0,1,0,0,1,1
"49",2020,"AUTOR","VLo",4,48,16,0,1,0,0,1,1
"50",2020,"AUTOR","VLo",4,48,17,0,3,0,0,3,3
"51",2020,"AUTOR","VLo",5,41,1,0,1,0,0,1,0
"52",2020,"AUTOR","VLo",5,41,2,0,1,0,0,1,0
"53",2020,"AUTOR","VLo",5,41,3,0,2,0,0,2,2
"54",2020,"AUTOR","VLo",5,41,4,0,0,1,0,1,1
"55",2020,"AUTOR","VLo",5,41,5,4,2,1,0,4,2
"56",2020,"AUTOR","VLo",5,41,6,0,0,1,0,1,1
"57",2020,"AUTOR","VLo",5,41,7,4,3,2,0,6,2
"58",2020,"AUTOR","VLo",5,41,8,4,0,1,0,2,2
"59",2020,"AUTOR","VLo",5,41,9,0,1,1,0,2,1
"60",2020,"AUTOR","VLo",5,41,10,0,1,1,0,2,1
"61",2020,"AUTOR","VLo",5,41,11,0,0,1,0,1,1
"62",2020,"AUTOR","VLo",5,41,12,0,0,1,0,1,1
"63",2020,"AUTOR","VLo",5,41,13,4,3,0,0,4,2
"64",2020,"AUTOR","VLo",5,41,14,0,0,1,0,1,1
"65",2020,"AUTOR","VLo",5,41,15,0,2,0,0,2,2
"66",2020,"AUTOR","VLo",5,41,16,5,0,1,0,2,1
"67",2020,"AUTOR","Me",6,14,1,0,1,0,0,1,1
"68",2020,"AUTOR","Me",6,14,2,0,0,0,1,1,0
"69",2020,"AUTOR","Me",6,14,3,5,2,0,0,3,1
"70",2020,"AUTOR","Me",6,14,4,3,0,2,0,3,2
"71",2020,"AUTOR","Me",6,14,5,0,0,1,0,1,1
"72",2020,"AUTOR","Me",6,14,6,3,1,1,0,3,2
"73",2020,"AUTOR","VLo",7,43,1,0,0,1,0,1,1
"74",2020,"AUTOR","VLo",7,43,2,0,0,0,1,1,1
"75",2020,"AUTOR","VLo",7,43,3,0,2,0,0,2,1
"76",2020,"AUTOR","VLo",7,43,4,7,0,0,0,1,1
"77",2020,"AUTOR","VLo",7,43,5,4,0,3,0,4,2
"78",2020,"AUTOR","VLo",7,43,6,0,1,1,0,2,1
"79",2020,"AUTOR","VLo",7,43,7,5,2,0,0,3,1
"80",2020,"AUTOR","VLo",7,43,8,5,1,1,0,3,2
"81",2020,"AUTOR","VLo",7,43,9,0,0,1,0,1,0
"82",2020,"AUTOR","VLo",7,43,10,0,0,1,0,1,1
"83",2020,"AUTOR","VLo",7,43,11,0,0,1,0,1,1
"84",2020,"AUTOR","VLo",7,43,12,0,0,1,0,1,1
"85",2020,"AUTOR","VLo",7,43,13,0,1,0,0,1,1
"86",2020,"AUTOR","VLo",7,43,14,0,3,0,0,3,3
"90",2020,"AUTOR","Lo",9,30,1,0,1,0,0,1,0
"91",2020,"AUTOR","Lo",9,30,2,0,1,0,0,1,1
"92",2020,"AUTOR","Lo",9,30,3,0,0,1,0,1,1
"93",2020,"AUTOR","Lo",9,30,4,0,0,1,0,1,1
"94",2020,"AUTOR","Lo",9,30,5,4,2,1,0,4,1
"95",2020,"AUTOR","Lo",9,30,6,4,1,1,0,3,2
"96",2020,"AUTOR","Lo",9,30,7,0,1,0,0,1,1
"97",2020,"AUTOR","Lo",9,30,8,0,1,1,0,2,1
"98",2020,"AUTOR","Lo",9,30,9,0,0,1,0,1,1
"99",2020,"AUTOR","Lo",9,30,10,0,0,1,0,1,1
"100",2020,"AUTOR","Lo",9,30,11,0,0,1,0,1,1
"101",2020,"AUTOR","Lo",9,30,12,0,1,0,0,1,1
"102",2020,"AUTOR","Lo",9,30,13,0,1,0,0,1,1
"103",2020,"AUTOR","Lo",9,30,14,5,1,0,0,2,1
"104",2020,"AUTOR","VLo",10,57,1,0,0,1,0,1,1
"105",2020,"AUTOR","VLo",10,57,2,0,1,0,0,1,1
"106",2020,"AUTOR","VLo",10,57,3,0,0,1,0,1,1
"107",2020,"AUTOR","VLo",10,57,4,0,0,1,0,1,1
"108",2020,"AUTOR","VLo",10,57,5,0,4,5,0,9,3
"109",2020,"AUTOR","VLo",10,57,6,0,1,0,0,1,1
"110",2020,"AUTOR","VLo",10,57,7,0,0,1,0,1,1
"111",2020,"AUTOR","VLo",10,57,8,0,0,1,0,1,0
"112",2020,"AUTOR","VLo",10,57,9,0,0,1,0,1,1
"113",2020,"AUTOR","VLo",10,57,10,0,0,1,0,1,1
"114",2020,"AUTOR","VLo",10,57,11,0,0,1,0,1,1
"115",2020,"AUTOR","VLo",10,57,12,0,1,0,0,1,1
"116",2020,"AUTOR","VLo",10,57,13,0,0,1,0,1,1
"117",2020,"AUTOR","VLo",10,57,14,0,0,1,0,1,1
"118",2020,"AUTOR","Sh",11,2.31,1,0,1,0,0,1,1
"119",2020,"AUTOR","Sh",11,2.31,2,4,2,0,0,3,1
"120",2020,"AUTOR","VLo",12,48,1,0,1,0,0,1,1
"121",2020,"AUTOR","VLo",12,48,2,0,1,0,0,1,1
"122",2020,"AUTOR","VLo",12,48,3,0,1,1,0,2,1
"123",2020,"AUTOR","VLo",12,48,4,0,0,1,0,1,1
"124",2020,"AUTOR","VLo",12,48,5,3,4,1,0,6,2
"125",2020,"AUTOR","VLo",12,48,6,4,0,3,0,4,1
"126",2020,"AUTOR","VLo",12,48,7,0,0,1,0,1,1
"127",2020,"AUTOR","VLo",12,48,8,5,1,1,0,3,2
"128",2020,"AUTOR","VLo",12,48,9,0,0,1,0,1,1
"129",2020,"AUTOR","VLo",12,48,10,0,1,0,0,1,1
"130",2020,"AUTOR","VLo",12,48,11,0,0,1,0,1,1
"131",2020,"AUTOR","VLo",12,48,12,0,0,1,0,1,1
"132",2020,"AUTOR","VLo",12,48,13,0,0,1,0,1,1
"133",2020,"AUTOR","VLo",12,48,14,0,0,1,0,1,1
"134",2020,"AUTOR","VLo",12,48,15,0,2,1,0,3,1
"135",2020,"AUTOR","Lo",13,37.5,1,0,1,0,0,1,0
"136",2020,"AUTOR","Lo",13,37.5,2,4,1,3,0,5,1
"137",2020,"AUTOR","Lo",13,37.5,3,0,0,1,0,1,2
"138",2020,"AUTOR","Lo",13,37.5,4,0,0,1,0,1,1
"139",2020,"AUTOR","Lo",13,37.5,5,0,0,1,0,1,1
"140",2020,"AUTOR","Lo",13,37.5,6,0,1,0,0,1,1
"141",2020,"AUTOR","Lo",13,37.5,7,0,1,0,0,1,1
"142",2020,"AUTOR","Lo",13,37.5,8,0,1,0,0,1,1
"143",2020,"AUTOR","Lo",13,37.5,9,0,1,0,0,1,1
"144",2020,"AUTOR","Lo",13,37.5,10,0,0,1,0,1,1
"145",2020,"AUTOR","Lo",13,37.5,11,0,1,0,0,1,1
"146",2020,"AUTOR","Lo",13,37.5,12,0,1,0,0,1,1
"147",2020,"AUTOR","Lo",13,37.5,13,0,1,0,0,1,1
"148",2020,"AUTOR","Lo",13,37.5,14,0,1,0,0,1,1
"149",2020,"AUTOR","Lo",13,37.5,15,0,1,0,0,1,1
"150",2020,"AUTOR","VLo",14,45.4,1,0,1,0,0,1,0
"151",2020,"AUTOR","VLo",14,45.4,2,0,0,1,0,1,1
"152",2020,"AUTOR","VLo",14,45.4,3,0,1,0,0,1,0
"153",2020,"AUTOR","VLo",14,45.4,4,4,1,3,0,5,2
"154",2020,"AUTOR","VLo",14,45.4,5,0,0,1,0,1,1
"155",2020,"AUTOR","VLo",14,45.4,6,0,0,1,0,1,1
"156",2020,"AUTOR","VLo",14,45.4,7,0,0,1,0,1,1
"157",2020,"AUTOR","VLo",14,45.4,8,0,0,1,0,1,1
"158",2020,"AUTOR","VLo",14,45.4,9,0,0,1,0,1,1
"159",2020,"AUTOR","VLo",14,45.4,10,0,0,1,0,1,1
"160",2020,"AUTOR","VLo",14,45.4,11,0,0,1,0,1,1
"161",2020,"AUTOR","VLo",14,45.4,12,0,0,1,0,1,1
