"tesi","Length","type","shoot","Tree","rank_node","c","v","m","cl","nu","b","tot_buds","new_shoots","n_lateral_buds","n_apical_buds","which_apicals"
"AUTOR",42,"VLo",1,8,1,0,1,0,0,0,0,1,0,1,0,NA
"AUTOR",42,"VLo",1,8,2,0,0,0,0,0,1,1,0,1,0,NA
"AUTOR",42,"VLo",1,8,3,0,1,0,0,0,0,1,1,1,0,NA
"AUTOR",42,"VLo",1,8,4,1,0,2,0,0,0,3,1,3,0,NA
"AUTOR",42,"VLo",1,8,5,1,1,0,0,0,0,2,1,2,0,NA
"AUTOR",42,"VLo",1,8,6,1,0,3,1,3,0,4,2,4,0,NA
"AUTOR",42,"VLo",1,8,7,1,1,1,0,0,0,3,2,3,0,NA
"AUTOR",42,"VLo",1,8,8,0,0,1,1,3,0,1,1,1,0,NA
"AUTOR",42,"VLo",1,8,9,0,0,1,0,0,0,1,1,1,0,NA
"AUTOR",42,"VLo",1,8,10,0,0,1,1,3,0,1,1,1,0,NA
"AUTOR",42,"VLo",1,8,11,0,0,1,0,0,0,1,1,1,0,NA
"AUTOR",42,"VLo",1,8,12,0,1,0,0,0,0,1,1,1,0,NA
"AUTOR",42,"VLo",1,8,13,0,2,0,0,0,0,3,1,2,1,"M"
"AUTOR",40,"Lo",2,8,1,0,1,0,0,0,0,1,1,1,0,NA
"AUTOR",40,"Lo",2,8,2,0,0,1,1,2,0,1,1,1,0,NA
"AUTOR",40,"Lo",2,8,3,0,1,0,0,0,0,1,1,1,0,NA
"AUTOR",40,"Lo",2,8,4,0,3,0,0,0,0,3,1,3,0,NA
"AUTOR",40,"Lo",2,8,5,1,1,2,1,2,0,4,1,4,0,NA
"AUTOR",40,"Lo",2,8,6,0,1,0,0,0,0,1,1,1,0,NA
"AUTOR",40,"Lo",2,8,7,1,3,2,0,0,0,6,1,6,0,NA
"AUTOR",40,"Lo",2,8,8,0,0,1,1,4,0,1,1,1,0,NA
"AUTOR",40,"Lo",2,8,9,1,1,0,0,0,0,2,1,2,0,NA
"AUTOR",40,"Lo",2,8,10,0,0,1,1,3,0,1,1,1,0,NA
"AUTOR",40,"Lo",2,8,11,1,2,0,0,0,0,3,1,3,0,NA
"AUTOR",40,"Lo",2,8,12,0,0,1,1,4,0,1,1,1,0,NA
"AUTOR",40,"Lo",2,8,13,0,0,1,1,5,0,1,1,1,0,NA
"AUTOR",9,"Me",3,8,1,0,1,0,0,0,0,1,0,1,0,NA
"AUTOR",9,"Me",3,8,2,0,1,0,0,0,0,1,0,1,0,NA
"AUTOR",9,"Me",3,8,3,0,1,0,0,0,0,1,0,1,0,NA
"AUTOR",9,"Me",3,8,4,0,0,1,1,2,0,1,1,1,0,NA
"AUTOR",9,"Me",3,8,5,0,0,1,1,4,0,1,1,1,0,NA
"AUTOR",9,"Me",3,8,6,0,1,1,0,0,0,3,1,2,1,"V"
"AUTOR",48,"VLo",4,8,1,0,1,0,0,0,0,1,1,1,0,NA
"AUTOR",48,"VLo",4,8,2,0,1,0,0,0,0,1,1,1,0,NA
