tesi,unit,length,unit_2,diam,class,shoot_ID,tree,Length(node),rank_node,median_distance,norm_median_distance,abs_norm_median_distance,abs_median_distance,sylleptic,v,m,cl,nu,b,tot_buds_mvb,tot_buds_mv,shoot_type,nb_new_shoots,c_syl,v_syl,m_syl,tot_buds_syl_m_v
AUTOR,cm,42,mm,6.37,VLo,1,8,13,1,-6,-0.5,0.46,6,0,1,0,0,0,0,1,1,PROLEPTIC,0,,,,
AUTOR,cm,42,mm,6.37,VLo,1,8,13,2,-5,-0.4,0.38,5,0,0,0,0,0,1,1,0,PROLEPTIC,0,,,,
AUTOR,cm,42,mm,6.37,VLo,1,8,13,3,-4,-0.3,0.31,4,0,1,0,0,0,0,1,1,PROLEPTIC,1,,,,
AUTOR,cm,42,mm,6.37,VLo,1,8,13,4,-3,-0.2,0.23,3,1,0,0,0,0,0,0,0,SYLLEPTIC,1,1,0,2,2
AUTOR,cm,42,mm,6.37,VLo,1,8,13,5,-2,-0.2,0.15,2,1,0,0,0,0,0,0,0,SYLLEPTIC,1,1,1,0,1
AUTOR,cm,42,mm,6.37,VLo,1,8,13,6,-1,-0.1,0.08,1,1,0,0,1,3,0,0,0,SYLLEPTIC,2,1,0,3,3
AUTOR,cm,42,mm,6.37,VLo,1,8,13,7,0,0,0,0,1,0,0,0,0,0,0,0,SYLLEPTIC,2,1,1,1,2
AUTOR,cm,42,mm,6.37,VLo,1,8,13,8,1,0.1,0.08,1,0,0,1,1,3,0,1,1,PROLEPTIC,1,,,,
AUTOR,cm,42,mm,6.37,VLo,1,8,13,9,2,0.2,0.15,2,0,0,1,0,0,0,1,1,PROLEPTIC,1,,,,
AUTOR,cm,42,mm,6.37,VLo,1,8,13,10,3,0.2,0.23,3,0,0,1,1,3,0,1,1,PROLEPTIC,1,,,,
AUTOR,cm,42,mm,6.37,VLo,1,8,13,11,4,0.3,0.31,4,0,0,1,0,0,0,1,1,PROLEPTIC,1,,,,
AUTOR,cm,42,mm,6.37,VLo,1,8,13,12,5,0.4,0.38,5,0,1,0,0,0,0,1,1,PROLEPTIC,1,,,,
AUTOR,cm,42,mm,6.37,VLo,1,8,13,13,6,0.5,0.46,6,0,2,1,0,0,0,3,3,PROLEPTIC,2,,,,
AUTOR,cm,40,mm,6.22,Lo,2,8,14,1,-6.5,-0.5,0.46,6.5,0,1,0,0,0,0,1,1,PROLEPTIC,1,,,,
AUTOR,cm,40,mm,6.22,Lo,2,8,14,2,-5.5,-0.4,0.39,5.5,0,0,1,1,2,0,1,1,PROLEPTIC,1,,,,
AUTOR,cm,40,mm,6.22,Lo,2,8,14,3,-4.5,-0.3,0.32,4.5,0,1,0,0,0,0,1,1,PROLEPTIC,1,,,,
AUTOR,cm,40,mm,6.22,Lo,2,8,14,4,-3.5,-0.2,0.25,3.5,0,3,0,0,0,0,3,3,PROLEPTIC,1,,,,
AUTOR,cm,40,mm,6.22,Lo,2,8,14,5,-2.5,-0.2,0.18,2.5,1,0,0,1,2,0,0,0,SYLLEPTIC,1,1,1,2,3
AUTOR,cm,40,mm,6.22,Lo,2,8,14,6,-1.5,-0.1,0.11,1.5,0,1,0,0,0,0,1,1,PROLEPTIC,1,,,,
AUTOR,cm,40,mm,6.22,Lo,2,8,14,7,-0.5,0,0.04,0.5,1,0,0,0,0,0,0,0,SYLLEPTIC,1,1,3,2,5
AUTOR,cm,40,mm,6.22,Lo,2,8,14,8,0.5,0,0.04,0.5,0,0,1,1,4,0,1,1,PROLEPTIC,1,,,,
AUTOR,cm,40,mm,6.22,Lo,2,8,14,9,1.5,0.1,0.11,1.5,1,0,0,0,0,0,0,0,SYLLEPTIC,1,1,1,0,1
AUTOR,cm,40,mm,6.22,Lo,2,8,14,10,2.5,0.2,0.18,2.5,0,0,1,1,3,0,1,1,PROLEPTIC,1,,,,
AUTOR,cm,40,mm,6.22,Lo,2,8,14,11,3.5,0.2,0.25,3.5,1,0,0,0,0,0,0,0,SYLLEPTIC,1,1,2,0,2
AUTOR,cm,40,mm,6.22,Lo,2,8,14,12,4.5,0.3,0.32,4.5,0,0,1,1,4,0,1,1,PROLEPTIC,1,,,,
AUTOR,cm,40,mm,6.22,Lo,2,8,14,13,5.5,0.4,0.39,5.5,0,0,1,1,5,0,1,1,PROLEPTIC,1,,,,
AUTOR,cm,40,mm,6.22,Lo,2,8,14,14,6.5,0.5,0.46,6.5,0,0,1,0,0,0,1,1,PROLEPTIC,1,,,,
AUTOR,cm,9,mm,3.7,Me,3,8,6,1,-2.5,-0.4,0.42,2.5,0,1,0,0,0,0,1,1,PROLEPTIC,0,,,,
AUTOR,cm,9,mm,3.7,Me,3,8,6,2,-1.5,-0.2,0.25,1.5,0,1,0,0,0,0,1,1,PROLEPTIC,0,,,,
AUTOR,cm,9,mm,3.7,Me,3,8,6,3,-0.5,-0.1,0.08,0.5,0,1,0,0,0,0,1,1,PROLEPTIC,0,,,,
AUTOR,cm,9,mm,3.7,Me,3,8,6,4,0.5,0.1,0.08,0.5,0,0,1,1,2,0,1,1,PROLEPTIC,1,,,,
AUTOR,cm,9,mm,3.7,Me,3,8,6,5,1.5,0.2,0.25,1.5,0,0,1,1,4,0,1,1,PROLEPTIC,1,,,,
AUTOR,cm,9,mm,3.7,Me,3,8,6,6,2.5,0.4,0.42,2.5,0,2,1,0,0,0,3,3,PROLEPTIC,2,,,,
AUTOR,cm,48,mm,7.43,VLo,4,8,17,1,-8,-0.5,0.47,8,0,1,0,0,0,0,1,1,PROLEPTIC,1,,,,
AUTOR,cm,48,mm,7.43,VLo,4,8,17,2,-7,-0.4,0.41,7,0,1,0,0,0,0,1,1,PROLEPTIC,1,,,,
AUTOR,cm,48,mm,7.43,VLo,4,8,17,3,-6,-0.4,0.35,6,0,1,0,0,0,0,1,1,PROLEPTIC,1,,,,
AUTOR,cm,48,mm,7.43,VLo,4,8,17,4,-5,-0.3,0.29,5,0,1,0,0,0,0,1,1,PROLEPTIC,1,,,,
AUTOR,cm,48,mm,7.43,VLo,4,8,17,5,-4,-0.2,0.24,4,0,0,1,1,4,0,1,1,PROLEPTIC,1,,,,
AUTOR,cm,48,mm,7.43,VLo,4,8,17,6,-3,-0.2,0.18,3,0,0,1,1,6,0,1,1,PROLEPTIC,1,,,,
AUTOR,cm,48,mm,7.43,VLo,4,8,17,7,-2,-0.1,0.12,2,0,1,0,0,0,0,1,1,PROLEPTIC,1,,,,
