tesi,unit,parent_length_cm,unit_2,diam,class,shoot_ID,tree,parent_length_node,parent_rank_node,median_distance,norm_median_distance,abs_norm_median_distance,abs_median_distance,sylleptic,v,m,cl,nu,b,tot_buds_mvb,tot_buds_mv,shoot_type,nb_new_shoots,c_syl,v_syl,m_syl,tot_buds_syl_m_v
AUTOR,cm,42,mm,6.37,VLo,1,8,13,4,-3,-0.2,0.23,3,1,0,0,0,0,0,0,0,SYLLEPTIC,1,1,0,2,2
AUTOR,cm,42,mm,6.37,VLo,1,8,13,5,-2,-0.2,0.15,2,1,0,0,0,0,0,0,0,SYLLEPTIC,1,1,1,0,1
AUTOR,cm,42,mm,6.37,VLo,1,8,13,6,-1,-0.1,0.08,1,1,0,0,1,3,0,0,0,SYLLEPTIC,2,1,0,3,3
AUTOR,cm,42,mm,6.37,VLo,1,8,13,7,0,0,0,0,1,0,0,0,0,0,0,0,SYLLEPTIC,2,1,1,1,2
AUTOR,cm,40,mm,6.22,Lo,2,8,14,5,-2.5,-0.2,0.18,2.5,1,0,0,1,2,0,0,0,SYLLEPTIC,1,1,1,2,3
AUTOR,cm,40,mm,6.22,Lo,2,8,14,7,-0.5,0,0.04,0.5,1,0,0,0,0,0,0,0,SYLLEPTIC,1,1,3,2,5
AUTOR,cm,40,mm,6.22,Lo,2,8,14,9,1.5,0.1,0.11,1.5,1,0,0,0,0,0,0,0,SYLLEPTIC,1,1,1,0,1
AUTOR,cm,40,mm,6.22,Lo,2,8,14,11,3.5,0.2,0.25,3.5,1,0,0,0,0,0,0,0,SYLLEPTIC,1,1,2,0,2
AUTOR,cm,41,mm,7.17,VLo,5,8,17,5,-4,-0.2,0.24,4,1,0,0,1,3,0,0,0,SYLLEPTIC,2,1,2,1,3
AUTOR,cm,41,mm,7.17,VLo,5,8,17,7,-2,-0.1,0.12,2,1,0,0,0,0,0,0,0,SYLLEPTIC,2,1,3,2,5
AUTOR,cm,41,mm,7.17,VLo,5,8,17,8,-1,-0.1,0.06,1,1,0,0,0,0,0,0,0,SYLLEPTIC,2,1,0,1,1
AUTOR,cm,41,mm,7.17,VLo,5,8,17,13,4,0.2,0.24,4,1,0,0,0,0,0,0,0,SYLLEPTIC,2,1,3,0,3
AUTOR,cm,41,mm,7.17,VLo,5,8,17,16,7,0.4,0.41,7,1,0,0,0,0,0,0,0,SYLLEPTIC,0,1,0,0,0
AUTOR,cm,14,mm,4.34,Me,6,8,7,3,-1,-0.1,0.14,1,1,0,0,0,0,0,0,0,SYLLEPTIC,1,1,2,0,2
AUTOR,cm,14,mm,4.34,Me,6,8,7,4,0,0,0,0,1,0,0,0,0,0,0,0,SYLLEPTIC,2,1,0,2,2
AUTOR,cm,14,mm,4.34,Me,6,8,7,6,2,0.3,0.29,2,1,0,0,0,0,0,0,0,SYLLEPTIC,1,1,1,0,1
AUTOR,cm,43,mm,6.41,VLo,7,8,14,4,-3.5,-0.2,0.25,3.5,1,0,0,0,0,0,0,0,SYLLEPTIC,1,1,0,0,0
AUTOR,cm,43,mm,6.41,VLo,7,8,14,5,-2.5,-0.2,0.18,2.5,1,0,0,1,5,0,0,0,SYLLEPTIC,2,1,0,3,3
AUTOR,cm,43,mm,6.41,VLo,7,8,14,7,-0.5,0,0.04,0.5,1,0,0,0,0,0,0,0,SYLLEPTIC,1,1,2,0,2
AUTOR,cm,43,mm,6.41,VLo,7,8,14,8,0.5,0,0.04,0.5,1,0,0,0,0,0,0,0,SYLLEPTIC,2,1,1,1,2
AUTOR,cm,30,mm,5.09,Lo,9,8,15,5,-3,-0.2,0.2,3,1,0,0,1,1,0,0,0,SYLLEPTIC,1,1,2,1,3
AUTOR,cm,30,mm,5.09,Lo,9,8,15,6,-2,-0.1,0.13,2,1,0,0,0,0,0,0,0,SYLLEPTIC,2,1,1,1,2
