Y.g F1 F2 R1
1 2 38.42 23
0 1 61.82 12
1 3 44.73 3
1 1 35.43 16
1 2 55.73 31
1 1 35.67 29
1 3 39.45 20
0 3 42.67 13
1 2 52.11 21
1 2 40.01 8
0 3 60.78 18
1 3 38.01 7
0 1 52.17 27
0 1 51.43 22
1 1 39.34 8
1 2 45.71 3
1 2 43.44 4
0 2 59.59 6
0 2 65.56 28
1 3 39.59 8
0 1 59.31 3
0 3 49.25 29
1 1 30.33 16
1 1 42.44 20
0 1 54.61 19
0 1 51.45 10
1 2 25.58 9
0 1 55.8 24
0 1 56.55 17
1 2 46.95 18
1 2 42.92 14
0 2 69.72 13
1 1 49.1 13
0 3 49.86 10
1 1 38.77 23
1 3 36.56 16
1 2 34.77 32
1 2 45.78 25
0 2 63.61 20
0 2 67.54 30
0 3 65.68 10
0 2 62.97 22
1 1 47.62 32
1 3 37.76 24
1 2 46.72 8
1 1 25.88 19
1 1 46.86 11
0 3 66.6 3
1 2 51.31 2
0 2 60.96 25
0 3 54.89 18
1 3 42.21 26
0 2 67.44 9
1 2 49.22 27
1 2 40.24 18
1 2 50.71 5
1 1 34.81 3
0 2 58.64 12
1 2 55.02 4
1 2 46.45 29
1 2 45.12 17
0 1 59.36 29
1 3 39.38 29
1 3 40.16 22
1 2 54.24 31
1 3 45.49 26
0 3 55.74 1
1 2 48.01 31
0 3 61.95 24
0 3 54.96 22
1 1 27.55 10
1 1 36.65 6
0 1 62.83 8
0 1 56.91 3
1 3 40.33 2
1 2 36.54 17
0 3 60.34 31
1 1 41.88 9
0 1 68.02 2
0 2 67.72 21
1 1 35.45 9
1 1 41.54 23
1 1 37.5 6
0 1 56.67 14
1 3 37.09 17
1 2 29.65 17
0 1 70.21 7
0 1 60.06 16
0 3 58.17 11
1 3 43.36 14
0 3 49.89 5
0 2 56.2 15
1 2 37.19 13
1 2 48.76 29
0 3 51.76 6
1 2 56.13 26
0 2 56.42 11
0 3 62.82 15
0 3 51.41 13
1 3 38.87 29
1 1 46.6 24
1 2 33.35 30
0 2 59.29 29
0 1 64.17 22
1 3 49.37 8
1 3 40.19 17
0 2 60.87 7
0 3 51.39 27
1 2 46.14 10
0 1 61.24 17
1 2 42.4 10
0 1 61.49 10
1 3 41.58 23
0 3 53.91 22
0 1 58.91 32
1 2 36.65 29
0 1 53.98 17
0 3 48.88 22
0 2 56.76 2
1 3 42.11 28
0 3 49.13 8
