id,tesi,unit,length,unit_2,diam,class,shoot_ID,tree,node,c,v,m,cl,nu,b,tot_buds_m+v+b+c,found_next_year,buds_in_sylleptic
121,AUTOR,cm,42,mm,6.37,VLo,1,8,13,4,7,11,3,9,1,23,YES,16
122,AUTOR,cm,40,mm,6.22,Lo,2,8,14,4,13,10,6,20,0,27,YES,22
123,AUTOR,cm,9,mm,3.7,Me,3,8,6,0,5,3,2,6,0,8,YES,0
124,AUTOR,cm,48,mm,7.43,VLo,4,8,17,0,17,2,2,10,0,19,YES,0
125,AUTOR,cm,41,mm,7.17,VLo,5,8,17,5,16,12,7,19,0,33,YES,24
126,AUTOR,cm,14,mm,4.34,Me,6,8,7,3,4,4,2,5,1,12,YES,10
127,AUTOR,cm,43,mm,6.41,VLo,7,8,14,4,10,10,2,11,1,25,YES,14
129,AUTOR,cm,30,mm,5.09,Lo,9,8,15,3,10,8,5,10,0,21,YES,10
130,AUTOR,cm,57,mm,6.8,VLo,10,8,14,0,7,15,8,17,0,22,YES,0
131,AUTOR,cm,2.31,mm,2,Sh,11,8,3,1,3,0,0,0,0,4,YES,2
132,AUTOR,cm,48,mm,6.76,VLo,12,8,15,3,11,14,10,30,0,28,YES,20
133,AUTOR,cm,37.5,mm,5.88,Lo,13,8,15,1,11,7,4,12,0,19,YES,8
134,AUTOR,cm,45.4,mm,7.68,VLo,14,8,17,1,8,13,9,24,0,22,YES,8
135,AUTOR,cm,44,mm,6.91,VLo,15,8,16,3,11,14,9,27,0,28,YES,20
136,AUTOR,cm,33,mm,6.4,Lo,16,8,15,7,13,7,2,5,2,29,YES,28
137,AUTOR,cm,21,mm,4.23,Lo,17,8,8,2,4,7,4,10,0,13,YES,8
138,AUTOR,cm,8.5,mm,3.69,Me,18,8,6,2,4,5,4,7,0,11,YES,10
139,AUTOR,cm,38,mm,6.22,Lo,19,8,15,3,10,12,9,24,2,27,YES,16
140,AUTOR,cm,38,mm,5.8,Lo,20,8,14,0,4,10,8,18,0,14,YES,0
141,AUTOR,cm,11.8,mm,3.7,Me,21,8,6,2,5,2,2,4,2,11,YES,10
142,AUTOR,cm,2.5,mm,2.1,Sh,22,8,3,2,1,0,0,0,0,3,YES,0
143,AUTOR,cm,39,mm,5.6,Lo,23,8,14,1,10,9,8,21,0,20,YES,10
144,AUTOR,cm,1.5,mm,2,Sh,24,8,3,0,2,1,1,3,0,3,YES,0
145,AUTOR,cm,41.5,mm,5.46,VLo,25,8,14,1,6,12,6,14,0,19,YES,6
146,AUTOR,cm,4,mm,2.38,Sh,26,8,6,1,4,5,3,7,0,10,YES,2
147,AUTOR,cm,29.8,mm,5.62,Lo,27,8,10,5,7,9,6,10,0,21,YES,16
148,AUTOR,cm,4.2,mm,3.22,Sh,28,8,4,0,3,0,0,0,1,4,YES,0
149,AUTOR,cm,35,mm,5,Lo,29,8,13,9,13,9,5,11,0,31,YES,36
150,AUTOR,cm,49.6,mm,6.64,VLo,30,8,17,2,9,11,9,23,1,23,YES,10
151,AUTOR,cm,3,mm,2.63,Sh,31,8,4,2,3,0,0,0,1,6,YES,4
152,AUTOR,cm,15.6,mm,3.28,Me,32,8,8,3,4,6,2,5,0,13,YES,10
153,AUTOR,cm,4,mm,2.84,Sh,33,8,3,0,1,2,1,2,0,3,YES,0
154,AUTOR,cm,12.2,mm,4.1,Me,34,8,7,2,2,10,2,7,0,14,YES,14
155,AUTOR,cm,2,mm,2.42,Sh,35,8,2,0,1,1,1,1,0,2,YES,0
156,AUTOR,cm,27.6,mm,4.84,Lo,36,8,9,2,3,11,9,24,0,16,YES,14
157,AUTOR,cm,18.2,mm,4.12,Me,37,8,7,0,3,5,4,10,0,8,YES,0
158,AUTOR,cm,36.5,mm,5.81,Lo,38,8,10,1,5,11,6,16,0,17,YES,12
159,AUTOR,cm,1,mm,1.54,Sh,39,8,1,0,0,1,0,0,0,1,YES,0
160,AUTOR,cm,18,mm,4.46,Me,40,9,9,2,6,4,2,7,2,14,YES,8
161,AUTOR,cm,5.5,mm,3.9,Me,41,9,6,3,3,4,1,1,0,10,YES,8
162,AUTOR,cm,7,mm,3.3,Me,42,9,6,2,4,7,0,0,1,14,YES,16
164,AUTOR,cm,42.6,mm,5.5,VLo,44,9,15,2,8,12,7,16,0,22,YES,14
165,AUTOR,cm,34,mm,5.4,Lo,45,9,13,1,3,11,7,21,0,15,YES,2
166,AUTOR,cm,43,mm,6.2,VLo,46,9,19,4,7,13,0,0,1,25,YES,12
167,AUTOR,cm,52,mm,7.36,VLo,47,9,20,5,12,17,9,28,3,37,YES,30
