bud_id,year,shoot_id,length_cm,cat,nodes,rank,fate,clusters,nuts,new_length_cm,new_cat,new_nodes,simulation_nb
2260,2021,233,4.19,Sh,6,1,M,0.0,0.0,2.84,Sh,5.0,950
2261,2021,233,4.19,Sh,6,1,M,0.0,0.0,1.61,Sh,3.0,950
2262,2021,233,4.19,Sh,6,2,M,1.0,2.0,3.01,Sh,4.0,950
2263,2021,233,4.19,Sh,6,3,S,0.0,0.0,,,,950
2264,2021,233,4.19,Sh,6,4,M,0.0,0.0,0.68,Sh,1.0,950
2265,2021,233,4.19,Sh,6,5,V,,,4.48,Sh,5.0,950
2266,2021,233,4.19,Sh,6,6,V,,,4.14,Sh,5.0,950
2267,2021,233,4.19,Sh,6,6,M,0.0,0.0,4.83,Sh,6.0,950
2268,2021,235,5.4,Me,4,1,V,,,2.65,Sh,3.0,950
2269,2021,235,5.4,Me,4,1,V,,,2.34,Sh,3.0,950
2270,2021,235,5.4,Me,4,2,B,,,,,,950
2271,2021,235,5.4,Me,4,3,B,,,,,,950
2272,2021,235,5.4,Me,4,4,B,,,,,,950
2273,2021,236,6.94,Me,8,1,M,0.0,0.0,2.78,Sh,5.0,950
2274,2021,236,6.94,Me,8,1,V,,,4.41,Sh,4.0,950
2275,2021,236,6.94,Me,8,1,V,,,,,,950
2276,2021,236,6.94,Me,8,2,B,,,,,,950
2277,2021,236,6.94,Me,8,3,V,,,0.52,Sh,2.0,950
2278,2021,236,6.94,Me,8,4,M,0.0,0.0,1.56,Sh,6.0,950
2279,2021,236,6.94,Me,8,5,S,0.0,0.0,,,,950
2280,2021,236,6.94,Me,8,6,S,0.0,0.0,,,,950
2281,2021,236,6.94,Me,8,7,M,1.0,3.0,3.9,Sh,4.0,950
2282,2021,236,6.94,Me,8,8,V,,,3.84,Sh,4.0,950
2283,2021,237,0.61,Sh,2,1,S,0.0,0.0,,,,950
2284,2021,237,0.61,Sh,2,2,S,0.0,0.0,,,,950
2285,2021,239,2.03,Sh,2,1,S,0.0,0.0,,,,950
2286,2021,239,2.03,Sh,2,2,V,,,2.51,Sh,1.0,950
2287,2021,239,2.03,Sh,2,2,V,,,5.62,Me,7.0,950
2288,2021,240,3.57,Sh,4,1,B,,,,,,950
2289,2021,240,3.57,Sh,4,2,S,0.0,0.0,,,,950
2290,2021,240,3.57,Sh,4,3,S,0.0,0.0,,,,950
2291,2021,240,3.57,Sh,4,4,M,1.0,3.0,0.99,Sh,4.0,950
2292,2021,240,3.57,Sh,4,4,V,,,6.32,Me,2.0,950
2293,2021,241,6.17,Me,4,1,B,,,,,,950
2294,2021,241,6.17,Me,4,2,V,,,3.39,Sh,4.0,950
2295,2021,241,6.17,Me,4,3,V,,,3.52,Sh,4.0,950
2296,2021,241,6.17,Me,4,4,M,0.0,0.0,6.05,Me,4.0,950
2297,2021,242,3.9,Sh,7,1,B,,,,,,950
2298,2021,242,3.9,Sh,7,2,V,,,0.45,Sh,5.0,950
2299,2021,242,3.9,Sh,7,3,S,0.0,0.0,,,,950
2300,2021,242,3.9,Sh,7,4,V,,,5.35,Me,6.0,950
2301,2021,242,3.9,Sh,7,5,S,0.0,0.0,,,,950
2302,2021,242,3.9,Sh,7,6,V,,,3.31,Sh,4.0,950
2303,2021,242,3.9,Sh,7,6,M,0.0,0.0,2.71,Sh,1.0,950
2304,2021,242,3.9,Sh,7,7,M,0.0,0.0,0.45,Sh,3.0,950
2305,2021,242,3.0,Sh,4,1,V,,,0.41,Sh,2.0,950
2306,2021,242,3.0,Sh,4,2,S,0.0,0.0,,,,950
2307,2021,242,3.0,Sh,4,3,M,1.0,1.0,0.23,Sh,2.0,950
2308,2021,242,3.0,Sh,4,4,M,0.0,0.0,3.97,Sh,6.0,950
2309,2021,243,1.87,Sh,2,1,V,,,,,,950
2310,2021,243,1.87,Sh,2,1,V,,,2.17,Sh,2.0,950
2311,2021,243,1.87,Sh,2,2,V,,,3.48,Sh,4.0,950
2312,2021,245,8.0,Me,5,1,V,,,5.85,Me,3.0,950
2313,2021,245,8.0,Me,5,2,V,,,0.3,Sh,1.0,950
2314,2021,245,8.0,Me,5,3,S,0.0,0.0,,,,950
2315,2021,245,8.0,Me,5,4,V,,,3.99,Sh,4.0,950
2316,2021,245,8.0,Me,5,5,M,0.0,0.0,4.5,Sh,3.0,950
2317,2021,245,8.0,Me,5,5,V,,,7.92,Me,8.0,950
2318,2021,246,2.72,Sh,5,1,B,,,,,,950
2319,2021,246,2.72,Sh,5,2,S,0.0,0.0,,,,950
2320,2021,246,2.72,Sh,5,3,V,,,6.75,Me,5.0,950
2321,2021,246,2.72,Sh,5,3,V,,,,,,950
2322,2021,246,2.72,Sh,5,4,B,,,,,,950
2323,2021,246,2.72,Sh,5,5,M,0.0,0.0,3.97,Sh,1.0,950
2324,2021,247,3.35,Sh,3,1,B,,,,,,950
2325,2021,247,3.35,Sh,3,2,S,0.0,0.0,,,,950
2326,2021,247,3.35,Sh,3,3,V,,,,,,950
2327,2021,247,3.35,Sh,3,3,V,,,4.6,Sh,4.0,950
