bud_id,year,shoot_id,length_cm,cat,nodes,rank,fate,clusters,nuts,new_length_cm,new_cat,new_nodes,simulation_nb
2352,2021,233,0.17,Sh,2,1,S,0.0,0.0,,,,557
2353,2021,233,0.17,Sh,2,2,V,,,3.68,Sh,2.0,557
2354,2021,234,4.96,Sh,5,1,M,0.0,0.0,2.1,Sh,4.0,557
2355,2021,234,4.96,Sh,5,2,V,,,0.34,Sh,2.0,557
2356,2021,234,4.96,Sh,5,3,B,,,,,,557
2357,2021,234,4.96,Sh,5,4,V,,,12.46,Me,7.0,557
2358,2021,234,4.96,Sh,5,5,V,,,4.78,Sh,5.0,557
2359,2021,236,2.31,Sh,3,1,B,,,,,,557
2360,2021,236,2.31,Sh,3,2,M,1.0,1.0,2.78,Sh,3.0,557
2361,2021,236,2.31,Sh,3,3,B,,,,,,557
2362,2021,237,1.66,Sh,3,1,M,0.0,0.0,3.26,Sh,7.0,557
2363,2021,237,1.66,Sh,3,2,S,0.0,0.0,,,,557
2364,2021,237,1.66,Sh,3,3,M,1.0,2.0,5.64,Me,4.0,557
2365,2021,237,1.66,Sh,3,3,M,0.0,0.0,9.8,Me,7.0,557
2366,2021,238,5.58,Me,6,1,V,,,,,,557
2367,2021,238,5.58,Me,6,2,V,,,3.31,Sh,1.0,557
2368,2021,238,5.58,Me,6,2,V,,,,,,557
2369,2021,238,5.58,Me,6,2,V,,,0.24,Sh,3.0,557
2370,2021,238,5.58,Me,6,3,M,1.0,1.0,0.85,Sh,4.0,557
2371,2021,238,5.58,Me,6,4,B,,,,,,557
2372,2021,238,5.58,Me,6,5,M,1.0,2.0,4.56,Sh,5.0,557
2373,2021,238,5.58,Me,6,6,B,,,,,,557
2374,2021,239,1.62,Sh,2,1,B,,,,,,557
2375,2021,239,1.62,Sh,2,2,B,,,,,,557
2376,2021,243,6.85,Me,4,1,B,,,,,,557
2377,2021,243,6.85,Me,4,2,M,0.0,0.0,5.02,Me,5.0,557
2378,2021,243,6.85,Me,4,2,V,,,1.98,Sh,3.0,557
