bud_id,year,shoot_id,length_cm,cat,nodes,rank,fate,clusters,nuts,new_length_cm,new_cat,new_nodes,simulation_nb
211,2020,14,2.32,Sh,2,1,M,1.0,6.0,1.7,Sh,4.0,329
212,2020,14,2.32,Sh,2,2,V,,,1.7,Sh,1.0,329
213,2020,14,2.32,Sh,2,2,V,,,7.55,Me,4.0,329
214,2020,15,2.8,Sh,2,1,V,,,2.05,Sh,6.0,329
215,2020,15,2.8,Sh,2,1,V,,,2.36,Sh,4.0,329
216,2020,15,2.8,Sh,2,2,B,,,,,,329
217,2020,16,1.45,Sh,4,1,B,,,,,,329
218,2020,16,1.45,Sh,4,2,B,,,,,,329
219,2020,16,1.45,Sh,4,3,B,,,,,,329
220,2020,16,1.45,Sh,4,4,V,,,1.2,Sh,4.0,329
221,2020,16,1.45,Sh,4,4,M,0.0,0.0,2.43,Sh,1.0,329
222,2020,16,1.45,Sh,4,4,V,,,5.18,Me,5.0,329
223,2020,16,1.45,Sh,4,4,V,,,0.2,Sh,1.0,329
224,2020,16,1.45,Sh,4,4,M,0.0,0.0,6.99,Me,3.0,329
225,2020,17,7.82,Me,6,1,M,1.0,2.0,3.8,Sh,2.0,329
226,2020,17,7.82,Me,6,2,B,,,,,,329
227,2020,17,7.82,Me,6,3,S,0.0,0.0,,,,329
228,2020,17,7.82,Me,6,4,S,0.0,0.0,,,,329
229,2020,17,7.82,Me,6,5,S,0.0,0.0,,,,329
230,2020,17,7.82,Me,6,6,V,,,2.07,Sh,3.0,329
231,2020,18,5.15,Me,3,1,S,0.0,0.0,,,,329
232,2020,18,5.15,Me,3,2,B,,,,,,329
233,2020,18,5.15,Me,3,3,S,0.0,0.0,,,,329
234,2020,19,10.73,Me,5,1,V,,,,,,329
235,2020,19,10.73,Me,5,1,V,,,0.23,Sh,3.0,329
236,2020,19,10.73,Me,5,2,M,0.0,0.0,7.1,Me,2.0,329
237,2020,19,10.73,Me,5,3,S,0.0,0.0,,,,329
238,2020,19,10.73,Me,5,4,S,0.0,0.0,,,,329
239,2020,19,10.73,Me,5,5,V,,,5.16,Me,5.0,329
240,2020,19,10.73,Me,5,5,V,,,5.23,Me,7.0,329
241,2020,20,1.26,Sh,3,1,S,0.0,0.0,,,,329
242,2020,20,1.26,Sh,3,2,B,,,,,,329
243,2020,20,1.26,Sh,3,3,M,1.0,3.0,9.82,Me,7.0,329
244,2020,21,22.43,Lo,11,1,B,,,,,,329
245,2020,21,22.43,Lo,11,2,M,,,,,,329
246,2020,21,22.43,Lo,11,3,V,,,1.24,Sh,1.0,329
247,2020,21,22.43,Lo,11,3,M,,,,,,329
248,2020,21,22.43,Lo,11,4,M,,,,,,329
249,2020,21,22.43,Lo,11,5,S,0.0,0.0,,,,329
250,2020,21,22.43,Lo,11,6,V,,,,,,329
251,2020,21,22.43,Lo,11,6,V,,,1.83,Sh,3.0,329
252,2020,21,22.43,Lo,11,7,S,0.0,0.0,,,,329
253,2020,21,22.43,Lo,11,8,S,0.0,0.0,,,,329
254,2020,21,22.43,Lo,11,9,S,0.0,0.0,,,,329
255,2020,21,22.43,Lo,11,10,M,0.0,0.0,8.46,Me,6.0,329
256,2020,21,22.43,Lo,11,11,M,0.0,0.0,6.06,Me,5.0,329
257,2020,22,13.71,Me,6,1,S,0.0,0.0,,,,329
258,2020,22,13.71,Me,6,2,S,0.0,0.0,,,,329
259,2020,22,13.71,Me,6,3,M,1.0,5.0,0.94,Sh,3.0,329
260,2020,22,13.71,Me,6,4,V,,,6.82,Me,3.0,329
261,2020,22,13.71,Me,6,5,M,0.0,0.0,7.76,Me,5.0,329
262,2020,22,13.71,Me,6,5,M,0.0,0.0,5.72,Me,7.0,329
263,2020,22,13.71,Me,6,5,M,0.0,0.0,2.94,Sh,3.0,329
264,2020,22,13.71,Me,6,5,V,,,6.03,Me,4.0,329
265,2020,22,13.71,Me,6,6,M,0.0,0.0,4.86,Sh,4.0,329
266,2020,23,15.92,Me,7,1,V,,,,,,329
267,2020,23,15.92,Me,7,1,V,,,,,,329
268,2020,23,15.92,Me,7,2,V,,,1.59,Sh,1.0,329
269,2020,23,15.92,Me,7,3,S,0.0,0.0,,,,329
270,2020,23,15.92,Me,7,4,M,1.0,1.0,0.26,Sh,5.0,329
271,2020,23,15.92,Me,7,5,S,0.0,0.0,,,,329
272,2020,23,15.92,Me,7,6,S,0.0,0.0,,,,329
273,2020,23,15.92,Me,7,7,V,,,4.99,Sh,4.0,329
274,2020,24,14.36,Me,9,1,B,,,,,,329
