bud_id,year,shoot_id,length_cm,cat,nodes,rank,fate,clusters,nuts,new_length_cm,new_cat,new_nodes,simulation_nb
211,2020,14,0.39,Sh,1,1,S,0.0,0.0,,,,639
212,2020,15,0.01,Sh,4,1,V,,,3.46,Sh,2.0,639
213,2020,15,0.01,Sh,4,2,S,0.0,0.0,,,,639
214,2020,15,0.01,Sh,4,3,V,,,3.33,Sh,2.0,639
215,2020,15,0.01,Sh,4,3,M,1.0,2.0,4.15,Sh,4.0,639
216,2020,15,0.01,Sh,4,3,M,0.0,0.0,1.83,Sh,4.0,639
217,2020,15,0.01,Sh,4,4,S,0.0,0.0,,,,639
218,2020,16,0.86,Sh,4,1,V,,,0.78,Sh,3.0,639
219,2020,16,0.86,Sh,4,2,S,0.0,0.0,,,,639
220,2020,16,0.86,Sh,4,3,M,0.0,0.0,8.1,Me,6.0,639
221,2020,16,0.86,Sh,4,3,M,0.0,0.0,2.19,Sh,2.0,639
222,2020,16,0.86,Sh,4,4,M,0.0,0.0,3.69,Sh,4.0,639
223,2020,17,2.43,Sh,5,1,B,,,,,,639
224,2020,17,2.43,Sh,5,2,S,0.0,0.0,,,,639
225,2020,17,2.43,Sh,5,3,V,,,2.12,Sh,1.0,639
226,2020,17,2.43,Sh,5,3,V,,,2.52,Sh,8.0,639
227,2020,17,2.43,Sh,5,4,M,1.0,3.0,8.13,Me,3.0,639
228,2020,17,2.43,Sh,5,5,S,0.0,0.0,,,,639
229,2020,18,4.88,Sh,5,1,V,,,3.27,Sh,6.0,639
230,2020,18,4.88,Sh,5,2,V,,,0.68,Sh,2.0,639
231,2020,18,4.88,Sh,5,3,S,0.0,0.0,,,,639
232,2020,18,4.88,Sh,5,4,M,1.0,2.0,6.41,Me,6.0,639
233,2020,18,4.88,Sh,5,5,V,,,5.11,Me,4.0,639
234,2020,19,2.31,Sh,5,1,M,,,,,,639
235,2020,19,2.31,Sh,5,2,B,,,,,,639
236,2020,19,2.31,Sh,5,3,B,,,,,,639
237,2020,19,2.31,Sh,5,4,V,,,2.48,Sh,5.0,639
238,2020,19,2.31,Sh,5,4,M,0.0,0.0,5.59,Me,9.0,639
239,2020,19,2.31,Sh,5,5,M,1.0,2.0,5.96,Me,4.0,639
240,2020,20,7.82,Me,4,1,M,0.0,0.0,1.22,Sh,3.0,639
241,2020,20,7.82,Me,4,1,V,,,0.96,Sh,3.0,639
242,2020,20,7.82,Me,4,2,S,0.0,0.0,,,,639
243,2020,20,7.82,Me,4,3,M,0.0,0.0,5.53,Me,3.0,639
244,2020,20,7.82,Me,4,4,M,1.0,2.0,7.39,Me,4.0,639
245,2020,21,9.62,Me,9,1,V,,,4.9,Sh,6.0,639
246,2020,21,9.62,Me,9,2,V,,,,,,639
247,2020,21,9.62,Me,9,3,S,0.0,0.0,,,,639
248,2020,21,9.62,Me,9,4,S,0.0,0.0,,,,639
249,2020,21,9.62,Me,9,5,S,0.0,0.0,,,,639
250,2020,21,9.62,Me,9,6,M,0.0,0.0,7.24,Me,7.0,639
251,2020,21,9.62,Me,9,6,V,,,0.6,Sh,3.0,639
252,2020,21,9.62,Me,9,7,S,0.0,0.0,,,,639
253,2020,21,9.62,Me,9,8,S,0.0,0.0,,,,639
254,2020,21,9.62,Me,9,9,M,0.0,0.0,9.11,Me,6.0,639
255,2020,22,26.67,Lo,11,1,M,0.0,0.0,4.88,Sh,2.0,639
256,2020,22,26.67,Lo,11,1,V,,,,,,639
257,2020,22,26.67,Lo,11,1,V,,,,,,639
258,2020,22,26.67,Lo,11,1,V,,,,,,639
259,2020,22,26.67,Lo,11,2,B,,,,,,639
260,2020,22,26.67,Lo,11,3,B,,,,,,639
261,2020,22,26.67,Lo,11,4,B,,,,,,639
262,2020,22,26.67,Lo,11,5,V,,,0.26,Sh,1.0,639
263,2020,22,26.67,Lo,11,6,S,0.0,0.0,,,,639
264,2020,22,26.67,Lo,11,7,S,0.0,0.0,,,,639
265,2020,22,26.67,Lo,11,8,M,1.0,3.0,7.21,Me,4.0,639
266,2020,22,26.67,Lo,11,9,M,0.0,0.0,1.87,Sh,6.0,639
267,2020,22,26.67,Lo,11,10,V,,,5.09,Me,5.0,639
268,2020,22,26.67,Lo,11,11,M,1.0,5.0,0.47,Sh,3.0,639
269,2020,22,26.67,Lo,11,11,M,0.0,0.0,6.16,Me,7.0,639
270,2020,23,6.96,Me,3,1,V,,,,,,639
271,2020,23,6.96,Me,3,2,S,0.0,0.0,,,,639
272,2020,23,6.96,Me,3,3,S,0.0,0.0,,,,639
273,2020,24,22.97,Lo,13,1,V,,,0.56,Sh,1.0,639
274,2020,24,22.97,Lo,13,2,B,,,,,,639
275,2020,24,22.97,Lo,13,3,M,0.0,0.0,6.67,Me,8.0,639
276,2020,24,22.97,Lo,13,4,B,,,,,,639
277,2020,24,22.97,Lo,13,5,M,1.0,1.0,3.27,Sh,3.0,639
278,2020,24,22.97,Lo,13,6,S,0.0,0.0,,,,639
279,2020,24,22.97,Lo,13,7,V,,,6.8,Me,7.0,639
280,2020,24,22.97,Lo,13,7,M,1.0,3.0,1.96,Sh,5.0,639
281,2020,24,22.97,Lo,13,8,S,0.0,0.0,,,,639
282,2020,24,22.97,Lo,13,9,M,1.0,3.0,6.31,Me,7.0,639
283,2020,24,22.97,Lo,13,10,S,0.0,0.0,,,,639
284,2020,24,22.97,Lo,13,11,M,1.0,2.0,5.87,Me,8.0,639
285,2020,24,22.97,Lo,13,12,M,0.0,0.0,9.26,Me,6.0,639
286,2020,24,22.97,Lo,13,12,V,,,1.58,Sh,4.0,639
287,2020,24,22.97,Lo,13,13,M,1.0,2.0,3.78,Sh,6.0,639
288,2020,25,24.51,Lo,8,1,B,,,,,,639
289,2020,25,24.51,Lo,8,2,V,,,2.55,Sh,3.0,639
290,2020,25,24.51,Lo,8,3,M,,,,,,639
291,2020,25,24.51,Lo,8,4,B,,,,,,639
292,2020,25,24.51,Lo,8,5,M,1.0,4.0,2.78,Sh,6.0,639
293,2020,25,24.51,Lo,8,6,S,0.0,0.0,,,,639
294,2020,25,24.51,Lo,8,7,V,,,5.57,Me,3.0,639
295,2020,25,24.51,Lo,8,8,M,0.0,0.0,1.92,Sh,3.0,639
296,2020,25,24.51,Lo,8,8,M,1.0,1.0,3.87,Sh,5.0,639
297,2020,26,31.51,Lo,11,1,S,0.0,0.0,,,,639
298,2020,26,31.51,Lo,11,2,M,,,,,,639
299,2020,26,31.51,Lo,11,3,M,1.0,2.0,3.99,Sh,2.0,639
300,2020,26,31.51,Lo,11,4,B,,,,,,639
301,2020,26,31.51,Lo,11,5,V,,,6.49,Me,2.0,639
302,2020,26,31.51,Lo,11,6,M,0.0,0.0,4.61,Sh,5.0,639
303,2020,26,31.51,Lo,11,6,M,0.0,0.0,6.95,Me,4.0,639
304,2020,26,31.51,Lo,11,7,S,0.0,0.0,,,,639
